generation,rank,stage,fitness,mean_score,std_score,mean_steps,mean_max_tile,rate_2048,rate_4096,rate_8192,w_lost_penalty,w_empty,w_merges,w_monotonicity,w_sum
5,12,fast,24464.115120,21316.000000,3704.364273,1127.000000,1706.666667,0.666667,0.000000,0.000000,467034.816642,546.662729763,2000,109.875597208,30.7182760217
5,13,fast,23054.833840,21784.000000,7916.656533,1208.666667,1365.333333,0.333333,0.000000,0.000000,276658.383404,612.305592064,1562.68882885,112.671447795,24.1499495563
5,14,fast,22680.235164,21370.666667,7141.963378,1168.000000,1365.333333,0.333333,0.000000,0.000000,470135.173218,569.853571409,1491.61889263,114.110995359,25.6222368123
5,15,fast,22426.054323,21241.333333,9638.913540,1153.666667,1365.333333,0.333333,0.000000,0.000000,470135.173218,519.839505714,1491.61889263,114.110995359,22.1456656605
5,16,fast,20768.677678,19877.333333,15506.446430,1106.000000,1109.333333,0.333333,0.000000,0.000000,180525.198555,439.239910243,100,129.121962476,20.4656202061
6,1,full,110339.205160,86658.666667,33055.896795,3822.000000,5461.333333,1.000000,1.000000,0.333333,216556.58602,499.680240068,1397.71902731,120.583825525,30.7985465386
6,2,full,102962.987668,84552.000000,58446.913303,3697.000000,4778.666667,1.000000,0.666667,0.333333,197147.967148,571.846929144,1543.40760868,143.735304063,18.8593698787
6,3,full,93945.081425,74605.333333,39871.704832,3322.333333,4778.666667,1.000000,0.666667,0.333333,241862.253633,579.93740256,1685.29782508,148.19584505,29.7482665685
6,4,full,79772.152072,62882.666667,2210.291886,2893.000000,4096.000000,1.000000,1.000000,0.000000,235898.728829,479.89445399,739.515508213,130.100117521,20.990668792
6,5,full,75632.286815,63540.000000,18154.263705,3010.333333,3413.333333,1.000000,0.666667,0.000000,337031.512507,545.445260981,1384.60249926,130.470439482,21.8919190991
6,6,full,47382.605397,41364.000000,26294.558727,2036.000000,2218.666667,0.666667,0.333333,0.000000,172657.493139,442.234943668,610.485801238,144.729000713,20.0202489764
6,7,fast,37992.343728,31574.666667,18313.125445,1571.000000,2218.666667,0.666667,0.333333,0.000000,297080.908657,136.324576239,1272.30351537,130.031621067,24.6745962863
6,8,fast,35439.509311,30742.666667,6063.147111,1585.333333,2048.000000,1.000000,0.000000,0.000000,305950.660895,119.995023149,1549.08237932,134.114887289,21.4400555318
6,9,fast,35128.082328,30314.666667,3731.686780,1585.333333,2048.000000,1.000000,0.000000,0.000000,473474.047715,276.405826561,1501.40105387,144.171708881,15.6387319284
6,10,fast,30023.301716,25336.000000,19587.299014,1292.333333,1877.333333,0.333333,0.333333,0.000000,362291.007186,388.284819393,1510.68587832,122.598032618,19.1495351904
6,11,fast,29403.368771,26881.333333,16225.957914,1444.333333,1450.666667,0.666667,0.000000,0.000000,470084.417474,141.954984204,1516.60245639,129.830981565,18.0874076982
6,12,fast,28734.687084,24038.666667,19412.924996,1226.666667,1877.333333,0.333333,0.333333,0.000000,349506.460499,406.681891842,2000,104.818269953,29.9260674041
6,13,fast,27411.012710,24694.666667,12339.745792,1301.000000,1536.000000,0.666667,0.000000,0.000000,190837.542027,476.01130773,1692.87432754,137.518430791,35.1269187849
6,14,fast,24430.904860,23132.000000,7355.236139,1280.000000,1365.333333,0.333333,0.000000,0.000000,291024.274909,526.836013334,698.432443703,132.307059997,20.8352063764
6,15,fast,23464.326819,20657.333333,10526.796959,1095.000000,1536.000000,0.666667,0.000000,0.000000,210226.657305,469.31349923,1439.24794687,125.815308528,40.0314517947
6,16,fast,20147.385248,19234.666667,15078.961709,1069.333333,1194.666667,0.333333,0.000000,0.000000,271111.282225,475.575624423,1527.439421,131.826307878,42.8966582129
7,1,full,72400.236594,55748.000000,6955.268123,2561.666667,4096.000000,1.000000,1.000000,0.000000,238882.905535,525.268919772,1448.74906868,135.4981,31.1965816406
7,2,full,68812.279873,56517.333333,14101.069211,2681.666667,3413.333333,1.000000,0.666667,0.000000,252021.505932,590.785997261,1525.20287734,149.184171621,31.1881069977
7,3,full,60242.535709,52329.333333,21735.952480,2597.000000,2730.666667,1.000000,0.333333,0.000000,216556.58602,499.680240068,1397.71902731,120.583825525,30.7985465386
7,4,full,58797.424171,49050.666667,31731.516587,2307.333333,2901.333333,0.666667,0.666667,0.000000,226459.770178,491.395288786,957.081595686,121.768519388,21.6540052556
7,5,full,57492.915988,49308.000000,16301.680241,2403.000000,2730.666667,1.000000,0.333333,0.000000,335801.825099,575.724028852,1385.15007329,141.784597534,19.9199707886
7,6,fast,42534.699498,36325.333333,22479.343367,1840.666667,2218.666667,0.666667,0.333333,0.000000,289192.776938,125.955507374,652.459664387,130.015019836,20.5656821366
7,7,fast,41615.435292,35020.000000,14757.960835,1742.333333,2389.333333,0.666667,0.333333,0.000000,191436.002062,451.822849976,395.83000223,143.47927214,15.9216942104
7,8,full,40940.633803,36580.000000,26120.657266,1862.333333,2048.000000,0.333333,0.333333,0.000000,197147.967148,571.846929144,1543.40760868,143.735304063,18.8593698787
7,9,fast,37799.707134,33441.333333,26165.857312,1645.666667,2048.000000,0.333333,0.333333,0.000000,206209.086452,488.863432739,738.669472425,152.347026212,25.3597318989
7,10,fast,34983.786159,30105.333333,2430.943484,1544.666667,2048.000000,1.000000,0.000000,0.000000,248333.291212,409.213466388,658.016229602,130.04582945,27.3189009457
7,11,fast,29839.696266,26824.000000,6352.741351,1464.666667,1706.666667,0.666667,0.000000,0.000000,199593.897929,530.979629163,1108.9005939,126.017630155,18.9364499375
7,12,fast,26613.819865,23621.333333,6816.936034,1273.333333,1706.666667,0.666667,0.000000,0.000000,268084.198508,561.97931412,1269.05976626,124.415287534,23.3631194115
